area_sqft,bedrooms,bathrooms,house_age,distance_km,price_usd,garage_spots
1621.9,5,4,7,2.97,269487.32,3.0
1084.0,1,1,49,11.0,76635.18,0.0
1800.2,3,2,29,0.5,257637.95,0.0
1876.2,3,2,11,13.15,264566.01,2.0
719.6,6,3,40,10.53,100108.42,
979.1,4,3,41,10.74,146495.58,0.0
1551.1,4,2,48,10.78,184428.25,1.0
1373.5,1,1,7,26.86,146761.81,3.0
1493.3,5,4,31,1.12,230988.11,0.0
1158.8,3,2,49,0.77,121569.01,3.0
1851.8,1,1,40,0.75,235243.84,1.0
1811.1,6,4,11,7.14,281075.91,2.0
1526.4,2,1,44,1.08,194130.89,2.0
1950.9,1,1,21,7.33,246750.61,2.0
1687.0,1,1,24,7.97,184014.3,2.0
1156.3,3,2,27,1.1,197788.83,0.0
1647.5,1,1,38,15.95,158597.23,1.0
1116.4,6,3,6,4.2,186113.4,3.0
1851.4,4,3,26,11.08,273741.97,0.0
1480.0,2,1,40,11.23,150396.87,2.0
1426.1,1,1,27,1.76,205587.01,2.0
1227.6,3,2,13,22.23,124855.24,0.0
1989.0,1,1,2,3.06,291671.24,0.0
1438.2,6,5,27,32.08,165246.61,3.0
1328.7,2,1,35,0.93,184400.75,0.0
1359.1,3,1,27,0.5,210499.24,0.0
1712.9,1,1,48,1.89,205308.58,0.0
1646.2,1,1,30,6.03,213755.44,2.0
1665.1,2,1,25,7.43,229657.11,3.0
1672.3,1,1,2,10.38,233330.93,0.0
2356.7,5,4,27,8.83,352473.56,3.0
1337.4,6,4,8,3.77,226039.06,2.0
1295.1,6,4,36,12.25,191299.64,0.0
1174.5,2,1,8,0.68,186154.51,0.0
1746.4,5,3,45,0.5,255254.53,1.0
1951.6,4,2,15,1.34,331888.05,
1454.4,1,1,21,1.37,180434.23,
1163.9,1,1,7,4.84,189330.92,1.0
1170.2,4,3,10,9.15,182760.45,3.0
1760.2,3,2,46,37.84,134079.04,3.0
1797.3,1,1,14,2.58,252135.56,2.0
1717.3,6,3,25,9.01,238549.65,1.0
1233.8,5,3,49,1.55,174522.61,1.0
1592.9,4,3,31,0.53,252160.23,2.0
1546.7,6,5,2,0.5,311244.53,0.0
1587.5,6,5,17,12.92,248991.2,2.0
1848.6,6,5,19,39.32,176631.85,
1589.4,2,1,13,27.01,139660.22,3.0
1771.6,6,5,12,5.71,337987.32,0.0
1527.0,4,2,25,0.5,223166.7,1.0
1615.6,5,2,18,1.83,286658.79,1.0
1752.5,6,3,14,15.87,247442.4,2.0
917.1,1,1,20,2.47,116409.88,0.0
1372.1,3,1,17,8.76,197522.68,3.0
1311.9,1,1,11,3.61,173443.93,3.0
1244.4,2,1,22,7.12,183799.74,1.0
1389.9,3,1,47,16.28,133385.16,1.0
2098.0,6,5,25,5.81,347191.52,1.0
1153.7,6,5,29,48.86,60650.06,0.0
1887.3,3,2,49,4.61,254355.66,3.0
826.9,2,1,30,4.44,119387.4,3.0
1366.0,4,2,11,6.67,211740.45,1.0
1565.1,6,4,19,0.59,304130.9,
1734.5,6,3,24,16.33,236212.89,1.0
1784.5,2,1,23,4.77,258231.84,
1817.3,2,1,7,11.91,256795.19,1.0
1360.5,5,3,5,7.68,214006.95,0.0
1315.1,2,1,17,8.8,174675.06,3.0
1843.2,2,1,45,9.84,214065.4,2.0
1423.5,1,1,35,2.89,163062.07,
989.7,3,2,42,15.99,89460.93,0.0
1046.7,3,1,8,0.5,177097.11,2.0
1132.2,4,3,20,0.75,189494.98,2.0
1698.9,2,1,29,13.3,200109.68,2.0
1557.0,5,3,21,27.3,180090.89,3.0
1776.2,5,2,20,2.88,278276.94,1.0
1329.1,3,1,17,1.54,205439.62,0.0
1563.4,2,1,2,6.62,223608.28,0.0
1750.2,4,2,42,1.46,289612.54,1.0
1376.3,5,2,46,0.5,178599.21,0.0
1682.7,3,1,4,6.75,247581.25,0.0
1235.2,2,1,20,1.07,171486.53,0.0
1354.8,4,2,25,9.36,217749.75,1.0
1347.3,3,2,39,4.56,155824.61,0.0
1021.7,3,2,49,26.46,55455.79,1.0
1694.8,3,2,20,8.26,243166.74,2.0
1312.2,2,1,37,12.29,141558.4,1.0
1505.0,5,2,46,6.28,220244.11,0.0
1692.3,3,1,41,10.42,220623.85,2.0
1678.6,3,2,14,16.57,212518.34,0.0
1766.2,4,3,40,6.76,246548.67,2.0
1460.6,3,2,20,6.73,180936.23,1.0
1330.7,1,1,0,1.76,208815.24,1.0
1468.1,6,5,37,0.5,235407.07,
825.1,1,1,41,3.21,75122.12,1.0
921.2,4,2,17,7.31,112547.88,0.0
970.9,2,1,22,14.55,102675.09,2.0
1101.1,2,1,18,6.73,118921.82,0.0
1659.9,1,1,5,27.9,174498.78,
1137.8,6,5,49,9.78,137127.07,1.0
1348.7,3,2,1,17.65,169430.13,
2019.7,3,2,27,56.44,152567.82,2.0
1357.5,5,4,0,23.5,201937.75,2.0
1795.0,1,1,34,29.86,169094.85,3.0
1126.6,4,2,45,5.34,164367.09,2.0
1417.8,3,1,32,1.75,186425.79,3.0
1120.0,4,3,30,4.33,188494.81,1.0
1364.4,1,1,41,0.85,143928.75,3.0
1836.1,6,3,48,1.23,288320.6,1.0
809.1,2,1,43,0.5,81860.71,2.0
1673.8,5,3,11,0.5,277410.92,1.0
1595.1,5,2,28,23.16,195387.1,3.0
1262.3,3,1,40,34.84,80002.05,1.0
921.6,1,1,14,11.19,114582.75,2.0
1528.9,2,1,33,8.61,188109.07,0.0
1288.2,5,4,1,6.77,233711.35,2.0
1593.1,6,5,43,36.41,159026.33,0.0
1508.7,6,3,30,3.88,246216.96,1.0
2140.7,2,1,37,15.21,260183.56,0.0
1404.3,4,3,41,2.74,203280.02,1.0
1090.6,1,1,10,2.8,168831.91,1.0
1571.7,5,2,22,12.29,198073.5,1.0
1588.0,3,1,42,14.49,171355.53,1.0
2043.7,5,2,8,1.23,322491.44,0.0
1834.0,5,4,41,10.72,257904.86,2.0
1642.7,6,5,14,10.1,296948.31,3.0
2085.3,3,2,28,2.17,299586.14,1.0
1024.5,3,2,25,25.61,82767.06,0.0
1244.1,4,3,34,6.79,183794.22,0.0
1129.4,1,1,41,4.22,89527.48,2.0
1344.1,1,1,17,4.13,174004.73,
949.3,4,3,8,4.28,172437.7,3.0
1754.1,5,3,21,0.5,247953.38,1.0
1411.1,4,2,30,13.97,161109.0,1.0
911.7,5,3,37,29.61,75037.86,0.0
1093.8,2,1,37,21.5,91204.83,0.0
1625.4,3,1,16,4.61,245393.5,3.0
1835.3,4,2,46,12.62,237453.51,1.0
2298.7,3,1,4,4.11,359900.32,1.0
2665.5,1,1,5,1.59,410380.6,1.0
1665.8,1,1,1,4.57,243233.44,1.0
1104.2,6,5,46,4.68,171122.18,3.0
647.2,4,3,9,1.96,117901.64,3.0
1607.1,2,1,30,5.02,229946.83,2.0
1174.8,2,1,40,6.0,154053.32,1.0
1333.9,1,1,38,2.95,179325.47,2.0
1255.2,6,3,47,0.55,187109.77,1.0
1443.7,1,1,2,2.52,205276.02,2.0
1926.4,5,4,20,20.53,282512.38,0.0
1562.8,2,1,25,8.15,209119.98,2.0
1436.5,3,2,34,3.78,202284.45,0.0
1085.7,2,1,31,2.97,128256.9,2.0
830.1,5,2,27,10.2,117901.43,2.0
1305.5,1,1,15,2.01,168526.02,0.0
1478.5,3,2,5,2.44,251964.66,2.0
2207.2,2,1,21,17.65,294622.35,0.0
1552.1,2,1,12,5.71,246755.8,1.0
1893.1,2,1,27,1.69,278118.91,0.0
1300.3,6,4,39,0.5,194011.94,2.0
1026.0,3,2,27,33.63,57581.8,2.0
1114.0,3,2,29,0.5,196888.22,1.0
1209.9,3,1,2,7.23,173358.95,3.0
2351.4,6,3,32,10.15,345967.94,
1171.4,3,1,21,7.76,177426.0,2.0
1835.4,3,1,6,4.7,292268.98,0.0
1138.8,2,1,10,18.44,161719.72,2.0
1872.6,2,1,39,20.49,182628.61,2.0
1654.0,1,1,45,4.94,177440.32,3.0
1437.3,4,3,25,6.81,230540.96,2.0
1483.7,1,1,48,6.88,139364.91,0.0
1238.1,2,1,9,10.67,160961.03,2.0
1678.4,2,1,14,2.1,248678.9,0.0
1318.0,2,1,46,0.63,177160.26,1.0
1009.8,5,3,8,5.17,190571.02,3.0
988.8,4,2,32,1.05,155620.01,3.0
1569.0,6,3,10,6.02,262250.14,3.0
2131.6,3,2,16,15.06,307592.35,1.0
1564.0,6,5,23,5.81,322959.79,
1452.5,1,1,17,7.19,199278.02,2.0
1614.3,4,2,43,8.53,208462.12,0.0
2022.4,5,4,48,12.76,248002.62,3.0
1587.8,4,3,25,7.95,221750.83,3.0
1335.6,6,3,26,5.2,213324.78,0.0
1942.5,2,1,2,5.0,286965.25,3.0
1671.5,1,1,11,1.94,244461.57,1.0
2114.3,5,3,1,5.13,382234.24,
1573.3,1,1,42,13.32,177331.94,2.0
1010.2,5,3,11,4.69,176890.78,0.0
952.7,5,2,17,4.08,142131.76,0.0
2160.4,6,3,42,7.45,334359.96,2.0
2189.5,3,1,35,1.66,309689.33,3.0
1428.2,6,5,31,0.83,221631.92,3.0
1346.7,2,1,1,11.7,197409.13,1.0
2084.6,3,2,28,3.07,319256.8,3.0
1057.2,1,1,28,2.73,93390.53,
1142.1,5,4,15,18.54,145313.88,2.0
1757.3,5,3,37,21.74,207336.48,1.0
1342.2,5,4,46,6.31,198197.22,2.0
1498.0,5,3,12,8.93,230764.47,2.0
1434.6,2,1,16,30.41,113291.68,2.0
1635.0,1,1,16,4.58,236209.36,1.0
2063.0,6,4,41,17.79,267863.39,2.0
1536.2,3,2,3,11.85,233417.19,2.0
1757.6,1,1,44,26.96,126277.85,1.0
679.9,6,4,38,2.3,97190.26,2.0
1480.5,6,5,24,14.71,233472.42,0.0
1162.7,3,2,29,1.55,172752.61,3.0
1012.5,5,3,44,14.67,123895.99,0.0
1148.7,1,1,38,3.47,121317.04,3.0
1366.4,1,1,13,0.52,188878.31,3.0
1866.4,2,1,2,15.77,271642.88,3.0
969.4,4,2,32,0.5,124672.06,0.0
1512.3,1,1,7,16.7,200098.93,0.0
1306.3,1,1,4,1.91,218215.32,0.0
1368.9,5,2,49,7.44,187126.43,1.0
1901.1,5,2,23,0.5,295748.36,3.0
1715.2,5,4,32,0.7,264544.92,3.0
2035.0,5,2,10,2.64,332187.01,2.0
1438.2,5,3,5,4.01,233273.51,3.0
1221.6,4,2,3,1.72,202043.28,0.0
1410.5,4,2,17,1.07,239631.2,3.0
1597.0,6,3,0,1.37,308177.69,1.0
1570.6,3,2,21,5.97,210744.76,2.0
1066.2,1,1,16,0.53,162279.24,
1536.2,5,2,26,21.57,191320.71,2.0
1591.3,2,1,29,22.09,181270.3,1.0
2507.0,6,4,15,0.59,432818.64,2.0
2250.7,3,2,22,11.01,328045.16,1.0
1158.7,6,5,3,10.27,219555.96,2.0
1385.0,1,1,15,7.22,195807.7,1.0
914.6,4,3,48,2.55,99630.29,1.0
1263.7,3,2,49,7.25,141191.49,
1626.2,3,2,24,17.11,197229.9,1.0
1982.3,2,1,46,3.06,250302.65,2.0
1208.4,6,3,25,13.97,179000.16,
1238.3,3,2,6,5.55,205429.97,0.0
641.1,6,3,43,19.8,54044.65,0.0
1434.9,3,1,20,8.53,191981.02,2.0
1075.0,1,1,30,15.51,80690.18,2.0
1288.2,6,3,32,26.97,153370.1,0.0
1149.3,2,1,15,5.05,165495.02,1.0
1462.3,2,1,36,10.05,151718.0,0.0
796.9,6,4,25,31.56,59948.53,0.0
913.2,6,3,18,49.6,50000.0,0.0
2351.7,6,4,14,7.38,382345.47,2.0
985.0,3,2,37,25.54,57751.87,3.0
1061.3,5,4,12,4.07,183957.11,1.0
2234.8,2,1,6,4.59,359028.28,0.0
2662.0,5,3,44,24.69,310080.67,3.0
1031.4,4,2,16,8.87,161483.12,1.0
1352.7,1,1,32,15.94,162476.39,0.0
1636.6,3,2,35,4.13,241270.07,0.0
2191.5,3,2,41,14.64,269137.71,1.0
1105.3,2,1,31,17.16,81111.09,2.0
1401.9,3,1,35,4.41,163619.92,1.0
1810.9,4,3,41,6.44,243961.55,1.0
1673.9,1,1,47,3.64,186452.09,1.0
1349.5,1,1,2,19.51,143702.32,3.0
1446.5,5,4,37,10.78,195348.52,2.0
950.0,3,2,8,1.63,160482.71,2.0
1404.7,4,2,44,27.87,123579.13,1.0
1393.4,4,2,2,9.51,201525.61,2.0
1592.9,4,2,12,4.48,242862.73,3.0
1277.9,3,2,9,8.84,185961.89,
1688.6,3,1,30,2.17,236854.01,3.0
1905.1,5,4,0,3.39,363130.85,0.0
1562.2,6,5,0,17.49,258334.74,3.0
1640.7,2,1,25,3.35,202842.52,3.0
1521.3,5,4,48,35.15,131411.32,2.0
1500.0,6,3,26,2.43,257704.45,3.0
1211.4,1,1,22,20.12,106078.85,
1626.6,5,4,32,20.44,186062.46,1.0
1461.1,3,1,27,11.48,207704.86,2.0
2337.3,6,3,19,2.32,367782.8,2.0
2129.3,4,2,29,4.24,323783.84,0.0
1654.3,6,3,0,6.7,294060.01,0.0
1194.8,1,1,12,13.69,145751.43,1.0
1055.0,1,1,33,36.14,50000.0,2.0
1976.5,6,5,17,10.34,326479.69,0.0
1605.1,4,3,2,10.88,244333.53,3.0
1692.1,4,3,6,14.05,268054.16,0.0
802.2,2,1,43,5.54,63625.56,3.0
1871.0,2,1,16,2.32,277944.49,
1681.8,5,3,1,21.4,222482.18,1.0
1055.8,2,1,36,37.84,50000.0,1.0
1311.4,4,3,26,15.7,166176.96,2.0
1605.5,2,1,22,3.0,231941.74,0.0
1521.0,2,1,44,9.4,142603.55,2.0
1383.1,1,1,15,10.74,177722.15,2.0
1458.6,6,4,28,5.1,225607.16,0.0
1399.2,6,4,37,10.29,221796.62,3.0
1561.0,1,1,30,33.15,106419.49,2.0
2088.6,3,2,10,6.41,299202.05,0.0
473.3,4,2,34,7.06,52163.15,2.0
1405.3,3,2,37,10.88,154012.88,1.0
1570.6,5,3,6,6.64,282518.79,3.0
1618.4,2,1,8,17.47,201747.45,1.0
1351.2,1,1,33,5.09,158538.96,
797.3,3,1,5,9.66,122496.19,3.0
1631.2,4,3,44,14.73,179630.26,0.0
2190.9,2,1,5,2.55,316652.26,
886.5,5,4,48,7.01,120449.06,0.0
1845.5,1,1,33,6.19,215164.81,1.0
1368.6,1,1,22,5.6,158593.64,0.0
1475.5,4,2,13,4.78,245919.96,2.0
1078.8,4,2,17,1.86,185729.08,0.0
1366.2,2,1,37,11.73,127530.71,2.0
2020.0,2,1,37,1.09,267053.88,1.0
1733.1,1,1,10,21.13,184019.88,3.0
2192.9,4,2,27,4.06,352992.77,3.0
1971.0,3,2,49,3.46,274065.24,2.0
1675.6,1,1,12,3.89,231949.91,1.0
2197.6,3,2,34,23.99,259518.79,2.0
1675.6,6,5,8,4.18,281859.04,2.0
1831.2,2,1,41,7.99,212410.5,
1381.4,6,3,8,1.22,258526.98,1.0
1526.6,2,1,14,18.3,185089.29,3.0
1221.0,2,1,22,21.67,111294.13,1.0
1895.8,2,1,18,0.5,285995.24,0.0
1028.7,2,1,8,3.65,155922.69,3.0
1812.9,1,1,32,1.87,238485.66,3.0
1423.7,4,3,0,37.96,142245.23,2.0
1968.5,3,2,49,2.49,256621.41,2.0
1800.3,5,2,2,13.63,280231.04,1.0
2228.3,3,2,16,15.69,308138.67,1.0
1792.3,3,2,46,26.6,170811.51,3.0
871.2,3,1,7,4.61,119781.23,3.0
1473.2,1,1,3,1.24,211668.12,1.0
1031.2,5,2,37,0.84,163749.2,1.0
1292.7,1,1,3,9.27,197562.05,0.0
2104.5,5,3,44,11.95,284307.26,0.0
1755.0,6,3,22,5.1,278369.42,1.0
1220.4,5,4,43,10.11,164505.96,2.0
1094.5,3,2,12,7.91,142993.26,2.0
1513.1,2,1,7,5.74,241969.34,3.0
1013.4,6,3,48,11.26,126420.52,1.0
1231.5,2,1,38,1.23,146391.38,0.0
1624.8,3,2,45,1.95,215355.44,3.0
1962.1,5,3,15,12.15,286956.65,3.0
1743.5,6,3,20,41.61,195357.75,2.0
583.5,6,5,28,10.45,92530.88,0.0
1621.7,1,1,22,5.74,214971.64,1.0
1528.8,6,5,12,14.74,252315.95,2.0
1665.6,1,1,18,43.31,100183.41,3.0
2146.5,4,2,30,3.98,318951.8,2.0
674.7,6,3,1,3.99,155151.98,1.0
1263.6,4,3,16,0.5,192522.61,1.0
1736.4,6,5,14,4.76,306167.99,1.0
867.4,3,1,3,1.02,151769.86,0.0
2090.4,2,1,6,23.8,257895.57,0.0
1647.3,2,1,24,30.73,147643.5,3.0
1838.6,3,1,5,1.51,298162.13,1.0
1271.6,5,2,17,42.05,114250.65,3.0
1825.5,3,2,28,7.4,234336.11,1.0
1927.4,5,4,43,0.5,290876.01,3.0
1593.2,3,1,4,27.37,191056.3,0.0
1593.8,2,1,21,4.82,227620.92,0.0
1608.1,2,1,5,18.19,208541.4,2.0
1154.7,4,3,21,4.62,222452.58,3.0
1441.0,6,5,24,2.71,261429.75,0.0
1439.0,6,5,39,8.45,233649.6,
1653.4,2,1,22,1.69,232935.3,0.0
1899.9,3,1,46,14.78,199566.7,2.0
1076.6,5,3,6,17.58,151824.97,2.0
1450.0,4,2,2,2.5,260275.4,2.0
2092.6,1,1,0,13.86,291413.78,1.0
1202.6,4,2,17,12.22,171369.13,1.0
1171.1,1,1,9,31.97,78732.9,2.0
1580.9,1,1,4,1.09,236454.99,1.0
1837.8,4,2,11,1.96,295889.78,2.0
1504.6,1,1,48,4.67,177929.77,0.0
2031.6,3,2,40,2.21,296723.27,1.0
1842.7,4,3,0,5.23,292617.14,0.0
1836.7,4,2,45,0.88,272315.04,0.0
1721.6,3,2,10,15.18,224956.7,
2431.1,1,1,20,12.07,324489.49,1.0
1417.9,5,3,16,6.42,226360.33,0.0
698.6,6,4,20,28.48,86850.42,0.0
2141.7,6,4,38,52.11,181058.87,3.0
1316.9,5,2,35,5.38,192070.55,2.0
1543.2,3,2,29,27.79,156392.22,2.0
2023.8,6,3,31,5.82,298802.76,2.0
859.1,3,2,36,16.9,67876.27,0.0
999.3,1,1,9,17.86,94515.78,2.0
859.5,6,5,19,4.38,158267.29,3.0
1182.3,2,1,5,10.9,153051.89,1.0
1675.9,6,4,35,4.89,279393.91,3.0
1709.7,3,2,21,14.62,212408.12,3.0
1610.5,6,3,31,5.28,260027.5,2.0
934.9,4,2,28,1.62,148498.55,0.0
576.0,3,2,13,17.98,50000.0,2.0
1521.7,2,1,6,14.69,205773.81,3.0
1311.3,6,3,48,17.27,129093.26,2.0
1683.8,1,1,14,13.09,218914.66,3.0
1780.8,3,2,5,17.37,235397.04,2.0
1555.3,3,1,15,2.43,237133.08,1.0
1804.1,4,2,45,15.25,193452.37,3.0
1591.7,2,1,13,2.63,238105.25,0.0
1712.0,4,2,49,10.01,223865.99,1.0
1218.1,3,2,23,10.43,145728.09,0.0
1428.2,2,1,43,4.28,161670.24,2.0
1578.7,2,1,32,10.69,194148.48,3.0
1828.2,5,4,2,15.17,293525.66,3.0
1342.5,2,1,25,7.76,132575.67,0.0
1708.5,2,1,20,1.39,279323.9,2.0
1393.7,4,3,10,3.17,242457.01,
1453.0,2,1,27,15.78,169662.13,3.0
1831.8,3,1,5,6.53,276028.92,2.0
702.8,2,1,34,5.04,50000.0,0.0
981.4,3,2,41,24.77,67829.49,1.0
907.1,5,4,4,5.63,165904.61,3.0
566.6,4,3,23,36.35,50000.0,2.0
1228.7,6,5,32,12.25,178861.53,1.0
1799.8,5,2,3,21.54,255311.01,0.0
1386.0,1,1,19,5.98,168546.62,2.0
1579.1,3,2,12,18.36,214349.22,1.0
1935.7,2,1,1,3.42,282073.82,1.0
2031.1,4,2,40,3.95,320491.21,3.0
1472.3,2,1,22,13.7,207914.53,0.0
2041.4,6,5,37,1.44,354975.79,0.0
1536.9,2,1,29,4.78,221530.22,3.0
1165.0,4,3,43,12.02,132837.77,3.0
1262.2,1,1,49,29.71,71897.55,1.0
907.8,6,3,30,2.93,152923.13,3.0
1144.7,6,5,17,19.16,143517.08,0.0
1356.8,5,3,21,7.61,233039.35,0.0
1821.4,3,2,41,46.12,136581.66,1.0
2188.3,1,1,21,22.97,246678.93,2.0
947.1,5,3,25,8.99,121732.38,0.0
1657.1,3,2,9,16.26,214181.79,0.0
1083.8,6,4,49,0.5,142950.18,3.0
1689.9,5,4,32,20.63,227375.04,2.0
1447.6,4,3,16,3.76,209590.42,2.0
767.6,6,5,29,15.33,111647.88,3.0
1871.3,5,3,20,9.06,271849.26,0.0
1258.0,3,2,7,4.46,179528.66,3.0
1286.4,1,1,43,27.34,75932.4,1.0
1072.1,1,1,44,0.5,114507.86,3.0
1238.3,3,2,41,5.73,165937.64,3.0
1671.2,4,3,18,4.23,244365.74,0.0
1424.3,1,1,12,2.95,192040.7,0.0
1631.5,1,1,2,9.58,190776.82,2.0
1644.8,5,4,36,9.57,202040.62,2.0
2028.3,5,3,16,8.39,341853.68,0.0
1362.9,1,1,44,11.46,161514.0,1.0
909.3,4,3,43,3.39,123002.14,3.0
1926.9,1,1,6,32.49,185001.65,3.0
1367.4,5,4,45,0.67,204638.36,0.0
1945.8,6,4,7,27.07,283366.3,2.0
1653.4,6,3,24,0.74,272269.86,0.0
1447.5,4,3,23,4.38,226953.9,1.0
1639.5,4,3,47,6.89,215677.93,0.0
2280.4,6,5,32,2.28,361274.51,2.0
2330.8,4,2,43,6.06,313938.47,0.0
1527.8,3,2,29,5.42,216490.75,0.0
1564.1,5,3,41,12.66,187786.49,0.0
1930.5,4,3,42,4.91,278209.07,0.0
1161.7,6,3,42,6.45,160437.11,0.0
1633.2,4,3,20,4.0,257892.33,2.0
1489.7,6,5,19,45.2,158798.9,3.0
1625.6,1,1,49,2.59,187743.49,1.0
1166.7,1,1,37,6.42,138137.6,3.0
864.2,1,1,45,9.93,50000.0,2.0
670.8,4,3,28,4.74,92741.45,1.0
1053.0,5,3,46,0.5,156672.28,0.0
1316.5,2,1,35,8.73,179146.54,3.0
1382.7,1,1,37,6.34,127579.08,0.0
2274.9,6,5,8,0.5,401690.72,1.0
1942.4,5,4,28,8.57,313907.18,0.0
1115.2,4,3,36,3.12,149932.43,3.0
1639.1,3,2,38,13.25,191333.36,3.0
1337.2,3,2,47,0.5,181651.39,1.0
1386.3,1,1,16,5.71,187364.61,1.0
1574.1,2,1,15,3.27,252785.16,2.0
1747.7,6,5,48,0.63,282399.23,2.0
1364.3,3,2,49,21.67,134751.79,1.0
1925.5,5,4,8,6.44,314513.38,1.0
1043.2,5,2,18,4.6,159982.21,0.0
1502.5,2,1,47,15.7,139491.41,1.0
2539.1,2,1,9,6.09,355410.26,2.0
1589.2,5,3,39,10.75,221599.53,2.0
2073.3,1,1,5,6.37,293098.6,3.0
